Alloys,k,vm,tm,vac,delta,delta_chi,delta_s_mix,delta_h_mix,Class
Mg1Th1,48.5,16.9,1473.15,3.0,9.090909090909088,0.0050000000000000044,5.762823676963555,-7.3,0
Be1Mg1,87.0,9.5,1241.65,2.0,17.647058823529417,0.13,5.762823676963555,-4.4,0
Be1Th1,90.5,12.4,1791.65,3.0,26.31578947368421,0.135,5.762823676963555,-53.6,0
Mg1Ni1,112.0,10.3,1325.65,6.0,5.263157894736842,0.29999999999999993,5.762823676963555,-8.0,0
Pd0.4U0.6,131.4,11.06,1576.0700000000002,7.6,10.64995540340512,0.2449489742783179,5.595417017303138,-85.92,0
Fe1U1,134.0,9.8,1609.65,7.0,11.111111111111116,0.06500000000000006,5.762823676963555,-16.5,0
Mg1Cu1,92.5,10.55,1140.46,6.5,5.263157894736842,0.29499999999999993,5.762823676963555,-6.7,0
Fe1Mg1,107.0,10.55,1367.15,5.0,3.448275862068967,0.26,5.762823676963555,23.2,0
Fe1Th1,110.5,13.45,1917.15,6.0,12.5,0.265,5.762823676963555,-14.3,0
Cr1Mg1,102.5,10.615,1551.65,4.0,3.448275862068967,0.17499999999999993,5.762823676963555,31.7,0
Rh1U1,239.5,10.4,1822.15,7.5,12.903225806451617,0.2899999999999999,5.762823676963555,-67.6,0
Mg1V1,102.0,11.175,1553.15,3.5,5.263157894736842,0.15999999999999992,5.762823676963555,30.2,0
Os1U1,236.0,10.465,2357.15,14.0,14.754098360655737,0.2500000000000001,5.762823676963555,-48.3,0
Os1Th1,212.5,14.115,2664.65,13.0,16.12903225806452,0.45000000000000007,5.762823676963555,-57.4,0
Re1U1,234.5,10.675,2433.15,13.5,12.903225806451617,0.09999999999999998,5.762823676963555,-25.5,0
Mg1Zn1,57.0,11.6,807.915,7.0,5.263157894736842,0.16999999999999993,5.762823676963555,-5.5,0
